Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med
1.02723E-05,1.25E-05,3813,0.811228513,1.50427E-05,1.94701E-05,560,0.313519608,5.28607E-06,6.40547E-06,780,0.312251462,4.99599E-06,5.85092E-06,186.5,0.174421206,4.04101E-06,4.84722E-06,650.59,0.513979194,1.21129E-05,1.3871E-05,447,0.175311382,1.35097E-05,1.58774E-05,1292,0.593809524,1.37561E-05,1.64228E-05,373,0.239149453,5.75577E-06,6.92248E-06,322,0.224377576,2.34009E-06,9.36037E-07,57,0.063519701,8.49639E-06,1.03737E-05,620,0.277077778,3.74122E-06,4.44399E-06,206,0.144101695,3.14212E-06,3.661E-06,203,0.159284091,1.3067E-05,1.55508E-05,272,0.152352941,2.53012E-06,3.19946E-06,400,0.431070858,1.14326E-05,1.27029E-05,83,0.044676211,9.20598E-06,1.15598E-05,572,0.425682635
1.04373E-05,1.283E-05,3813,0.811228513,1.43106E-05,1.97141E-05,560,0.313519608,5.29851E-06,6.75373E-06,780,0.312251462,4.86241E-06,6.01122E-06,186.5,0.174421206,4.01115E-06,4.94675E-06,650.59,0.513979194,1.22258E-05,1.43387E-05,447,0.175311382,1.36026E-05,1.63417E-05,1292,0.593809524,1.34309E-05,1.68455E-05,373,0.239149453,5.67799E-06,7.05211E-06,322,0.224377576,2.10608E-06,1.20905E-06,57,0.063519701,8.3113E-06,1.07439E-05,620,0.277077778,3.90657E-06,4.58867E-06,206,0.144101695,3.28625E-06,3.83396E-06,203,0.159284091,1.36069E-05,1.69546E-05,272,0.152352941,2.61044E-06,3.36011E-06,400,0.431070858,1.19619E-05,1.3338E-05,83,0.044676211,9.21645E-06,1.18736E-05,572,0.425682635
1.0396E-05,1.2995E-05,3813,0.811228513,1.41537E-05,1.99582E-05,560,0.313519608,5.44776E-06,7.08955E-06,780,0.312251462,4.88913E-06,6.11809E-06,186.5,0.174421206,4.00119E-06,5.06619E-06,650.59,0.513979194,1.20645E-05,1.46774E-05,447,0.175311382,1.3649E-05,1.69916E-05,1292,0.593809524,1.29106E-05,1.72033E-05,373,0.239149453,5.75577E-06,7.2336E-06,322,0.224377576,1.91108E-06,1.52106E-06,57,0.063519701,8.15265E-06,1.09378E-05,620,0.277077778,3.86523E-06,4.58867E-06,206,0.144101695,3.08446E-06,3.89161E-06,203,0.159284091,1.32829E-05,1.69546E-05,272,0.152352941,2.59705E-06,3.54752E-06,400,0.431070858,1.24559E-05,1.39379E-05,83,0.044676211,9.02814E-06,1.22293E-05,572,0.425682635
9.36469E-06,1.31188E-05,3813,0.811228513,1.37354E-05,2.01325E-05,560,0.313519608,5.59701E-06,7.37562E-06,780,0.312251462,4.70211E-06,6.1448E-06,186.5,0.174421206,3.83199E-06,5.20553E-06,650.59,0.513979194,1.18548E-05,1.50645E-05,447,0.175311382,1.34169E-05,1.72702E-05,1292,0.593809524,1.23577E-05,1.74634E-05,373,0.239149453,5.65206E-06,7.28546E-06,322,0.224377576,1.91108E-06,1.52106E-06,57,0.063519701,7.90587E-06,1.1114E-05,620,0.277077778,3.8859E-06,4.67135E-06,206,0.144101695,3.19977E-06,4.03575E-06,203,0.159284091,1.2095E-05,1.71706E-05,272,0.152352941,2.58367E-06,3.78849E-06,400,0.431070858,1.27382E-05,1.47848E-05,83,0.044676211,8.53646E-06,1.23862E-05,572,0.425682635
8.29208E-06,1.34488E-05,3813,0.811228513,1.29859E-05,2.02545E-05,560,0.313519608,5.38557E-06,7.51244E-06,780,0.312251462,4.59524E-06,6.19824E-06,186.5,0.174421206,3.7225E-06,5.29511E-06,650.59,0.513979194,1.16613E-05,1.53226E-05,447,0.175311382,1.26741E-05,1.74095E-05,1292,0.593809524,1.15447E-05,1.76911E-05,373,0.239149453,5.54835E-06,7.38916E-06,322,0.224377576,1.52106E-06,1.91108E-06,57,0.063519701,7.77366E-06,1.14049E-05,620,0.277077778,3.90657E-06,4.85738E-06,206,0.144101695,2.9115E-06,4.12223E-06,203,0.159284091,1.2851E-05,1.74946E-05,272,0.152352941,2.50335E-06,3.89558E-06,400,0.431070858,1.22089E-05,1.49965E-05,83,0.044676211,8.45277E-06,1.26792E-05,572,0.425682635
7.71452E-06,1.35314E-05,3813,0.811228513,1.26547E-05,2.03416E-05,560,0.313519608,5.06219E-06,7.67413E-06,780,0.312251462,4.40823E-06,6.3051E-06,186.5,0.174421206,3.60307E-06,5.34488E-06,650.59,0.513979194,1.13065E-05,1.55161E-05,447,0.175311382,1.2442E-05,1.76416E-05,1292,0.593809524,1.10244E-05,1.79187E-05,373,0.239149453,5.31501E-06,7.44102E-06,322,0.224377576,1.32605E-06,2.10608E-06,57,0.063519701,7.48281E-06,1.15988E-05,620,0.277077778,3.84456E-06,4.89872E-06,206,0.144101695,2.79619E-06,4.15105E-06,203,0.159284091,1.14471E-05,1.74946E-05,272,0.152352941,2.57028E-06,4.01606E-06,400,0.431070858,1.25265E-05,1.57022E-05,83,0.044676211,8.13893E-06,1.28779E-05,572,0.425682635
7.0132E-06,1.36964E-05,3813,0.811228513,1.194E-05,2.04114E-05,560,0.313519608,4.70149E-06,7.78607E-06,780,0.312251462,4.30136E-06,6.41197E-06,186.5,0.174421206,3.46372E-06,5.38469E-06,650.59,0.513979194,1.10806E-05,1.56935E-05,447,0.175311382,1.22098E-05,1.7688E-05,1292,0.593809524,1.05041E-05,1.79837E-05,373,0.239149453,5.18538E-06,7.5188E-06,322,0.224377576,1.20905E-06,2.26209E-06,57,0.063519701,6.99806E-06,1.16517E-05,620,0.277077778,3.78255E-06,4.91939E-06,206,0.144101695,2.53675E-06,4.20871E-06,203,0.159284091,1.07991E-05,1.76026E-05,272,0.152352941,2.35609E-06,4.02945E-06,400,0.431070858,1.27382E-05,1.61256E-05,83,0.044676211,7.54263E-06,1.30348E-05,572,0.425682635
6.39439E-06,1.37376E-05,3813,0.811228513,1.13648E-05,2.04288E-05,560,0.313519608,4.41542E-06,7.82338E-06,780,0.312251462,4.0342E-06,6.41197E-06,186.5,0.174421206,3.27461E-06,5.4046E-06,650.59,0.513979194,9.91935E-06,1.58387E-05,447,0.175311382,1.2117E-05,1.79666E-05,1292,0.593809524,9.62602E-06,1.80488E-05,373,0.239149453,5.15945E-06,7.57065E-06,322,0.224377576,1.05304E-06,2.4181E-06,57,0.063519701,6.68958E-06,1.17046E-05,620,0.277077778,3.53452E-06,5.00207E-06,206,0.144101695,2.24849E-06,4.20871E-06,203,0.159284091,8.63931E-06,1.76026E-05,272,0.152352941,2.22222E-06,4.09639E-06,400,0.431070858,1.20677E-05,1.63726E-05,83,0.044676211,7.49032E-06,1.31499E-05,572,0.425682635
5.98185E-06,1.37376E-05,3813,0.811228513,1.07199E-05,2.04637E-05,560,0.313519608,4.11692E-06,7.84826E-06,780,0.312251462,3.74032E-06,6.4654E-06,186.5,0.174421206,3.0855E-06,5.41455E-06,650.59,0.513979194,9.14516E-06,1.59032E-05,447,0.175311382,1.13278E-05,1.82451E-05,1292,0.593809524,9.13821E-06,1.82114E-05,373,0.239149453,4.69277E-06,7.59658E-06,322,0.224377576,9.36037E-07,2.5351E-06,57,0.063519701,6.34585E-06,1.1731E-05,620,0.277077778,3.22447E-06,5.04341E-06,206,0.144101695,2.13318E-06,4.20871E-06,203,0.159284091,8.63931E-06,1.81425E-05,272,0.152352941,2.00803E-06,4.09639E-06,400,0.431070858,1.19266E-05,1.65843E-05,83,0.044676211,7.0091E-06,1.32022E-05,572,0.425682635
5.4868E-06,1.37789E-05,3813,0.811228513,9.77863E-06,2.04811E-05,560,0.313519608,3.66915E-06,7.84826E-06,780,0.312251462,3.36628E-06,6.54555E-06,186.5,0.174421206,2.86653E-06,5.43446E-06,650.59,0.513979194,8.17742E-06,1.59194E-05,447,0.175311382,1.10492E-05,1.8338E-05,1292,0.593809524,8.52033E-06,1.8439E-05,373,0.239149453,4.30386E-06,7.59658E-06,322,0.224377576,7.02028E-07,2.76911E-06,57,0.063519701,6.03737E-06,1.17398E-05,620,0.277077778,3.16246E-06,5.06408E-06,206,0.144101695,2.07553E-06,4.20871E-06,203,0.159284091,8.42333E-06,1.81425E-05,272,0.152352941,1.78046E-06,4.10977E-06,400,0.431070858,1.15737E-05,1.6796E-05,83,0.044676211,6.37096E-06,1.32336E-05,572,0.425682635
4.99175E-06,1.37789E-05,3813,0.811228513,9.55203E-06,2.09691E-05,560,0.313519608,3.28358E-06,7.84826E-06,780,0.312251462,2.93882E-06,6.54555E-06,186.5,0.174421206,4.61829E-06,7.45496E-06,650.59,0.513979194,7.14516E-06,1.59355E-05,447,0.175311382,1.03528E-05,1.83844E-05,1292,0.593809524,8.13008E-06,1.86016E-05,373,0.239149453,3.70754E-06,7.59658E-06,322,0.224377576,5.0702E-07,2.96412E-06,57,0.063519701,5.62313E-06,1.17486E-05,620,0.277077778,3.03845E-06,5.08475E-06,206,0.144101695,1.93139E-06,4.20871E-06,203,0.159284091,7.4514E-06,1.81425E-05,272,0.152352941,1.59304E-06,4.12316E-06,400,0.431070858,1.03035E-05,1.69019E-05,83,0.044676211,5.35621E-06,1.32545E-05,572,0.425682635
4.33168E-06,1.38201E-05,3813,0.811228513,8.47133E-06,2.1004E-05,560,0.313519608,2.8607E-06,7.84826E-06,780,0.312251462,2.53807E-06,6.54555E-06,186.5,0.174421206,4.41923E-06,7.46491E-06,650.59,0.513979194,6.22581E-06,1.59516E-05,447,0.175311382,1.00743E-05,1.85237E-05,1292,0.593809524,7.77236E-06,1.86341E-05,373,0.239149453,3.3705E-06,7.59658E-06,322,0.224377576,5.0702E-07,2.96412E-06,57,0.063519701,5.34109E-06,1.18015E-05,620,0.277077778,2.95577E-06,5.14675E-06,206,0.144101695,1.55664E-06,4.20871E-06,203,0.159284091,6.47948E-06,1.81425E-05,272,0.152352941,1.33869E-06,4.13655E-06,400,0.431070858,9.28017E-06,1.69019E-05,83,0.044676211,4.40423E-06,1.32859E-05,572,0.425682635
