,Unnamed: 0,anhui,beijing,chongqing,fujian,gansu,guangdong,guangxi,guizhou,hainan,hebei,heilongjiang,henan,hubei,hunan,jiangsu,jiangxi,jilin,liaoning,shaanxi,shandong,shanghai,shanxi,sichuan,taiwan,tianjin,xinjiang,yunnan,zhejiang,south korea,france,australia,malaysia,brazil,germany,uk,italy,belgium,spain,sweden,finland,iran,austria,switzerland,norway,netherlands,denmark,ireland,portugal,washington,california,massachusetts,texas,florida,new york
49,49,984,326,547,295,88,1282,237,133,159,307,435,1249,49056,995,627,932,91,111,227,720,319,131,484,17,131,73,170,1205,247,12,22,25,,18,18,1004,1,32,1,1,2731,4,3,1,,1,,,1,6,,,,
50,50,984,334,554,295,88,1289,241,137,160,308,440,1249,50316,998,629,934,91,111,232,733,321,131,495,17,132,73,170,1209,333,12,25,26,,25,18,1045,1,183,1,1,2959,4,4,1,,1,,,1,6,,,,
51,51,984,342,564,295,88,1296,243,140,160,310,446,1249,51555,1004,630,934,91,112,232,739,324,132,502,20,132,73,170,1209,510,12,26,32,,25,18,1258,1,189,1,1,3276,4,4,1,,1,,,1,6,,,,
52,52,984,349,566,295,89,1299,243,143,160,310,447,1249,52943,1011,630,934,91,113,232,740,324,133,510,20,132,73,170,1211,714,31,26,32,,46,18,1439,1,193,1,1,3529,6,4,1,,1,,,1,6,,,,
53,53,984,353,569,295,91,1303,243,143,160,310,453,1250,54278,1014,631,934,91,113,232,741,324,133,515,20,132,73,172,1211,834,31,27,35,,46,19,1966,1,571,1,10,4339,6,4,1,,1,,2,1,6,,,,
54,54,984,358,570,295,91,1306,247,144,160,310,454,1250,55094,1014,631,934,92,114,233,746,325,133,516,20,133,73,172,1213,1137,31,27,35,,46,19,2335,1,571,1,10,4590,6,4,1,,1,,2,1,6,,,,
55,55,984,368,570,295,91,1307,248,144,161,310,456,1250,55987,1014,631,934,92,119,233,746,325,133,520,22,133,73,172,1216,1401,31,27,35,,49,19,2749,1,571,1,10,4996,6,4,1,,1,,2,1,6,,,,
56,56,984,373,570,295,91,1312,250,144,161,310,459,1250,56886,1014,631,934,92,122,237,746,325,133,525,22,133,73,172,1216,1540,602,27,49,,67,19,2941,1,1028,1,10,5389,9,4,1,,1,,2,1,6,,,,
57,57,984,378,570,295,91,1314,251,144,161,310,463,1250,56944,1014,631,934,92,122,237,746,326,133,525,22,133,73,172,1217,1540,602,27,60,,73,19,2941,15,1081,1,10,5710,9,4,1,,1,,2,1,6,,,,
58,58,984,390,570,295,98,1322,250,144,161,310,463,1250,58382,1014,631,934,92,122,237,748,326,133,536,26,133,73,172,1219,2233,1300,43,75,2,115,65,4440,165,1107,15,10,5979,9,15,1,2,1,5,4,1,6,,,,
59,59,984,392,570,295,113,1325,250,144,161,310,463,1250,58942,1014,631,934,92,122,239,749,326,133,536,28,133,73,172,1219,2612,1587,46,87,2,180,65,5129,204,1107,16,10,6745,9,15,1,2,1,5,4,1,6,,,,
60,60,984,400,570,295,113,1329,250,144,161,310,466,1250,59432,1014,631,934,92,124,239,750,328,133,536,28,133,73,172,1219,2909,1587,46,114,2,180,65,6072,204,2125,16,10,7635,9,131,6,2,1,5,4,1,6,,,,
61,61,984,401,570,295,114,1332,250,144,161,310,466,1250,59882,1014,631,934,92,124,239,751,329,133,536,28,133,73,172,1221,3166,1587,88,139,2,266,65,7024,204,2575,16,10,7913,9,131,6,2,1,5,4,1,6,,,,
62,62,984,401,570,295,118,1333,250,144,162,310,468,1250,60323,1014,631,934,92,124,240,752,330,133,536,29,133,73,172,1221,3507,1587,88,159,2,266,65,7432,350,3355,16,10,8376,9,131,6,2,1,5,5,1,6,,,,
63,63,984,403,570,295,119,1334,250,144,162,310,468,1250,60810,1014,631,934,92,124,240,752,330,133,536,29,133,73,172,1221,3730,3201,88,183,2,453,65,8326,350,3794,16,10,8913,9,131,6,2,1,5,22,1,6,,,,
