,Unnamed: 0,anhui,beijing,chongqing,fujian,gansu,guangdong,guangxi,guizhou,hainan,hebei,heilongjiang,henan,hubei,hunan,jiangsu,jiangxi,jilin,liaoning,shaanxi,shandong,shanghai,shanxi,sichuan,taiwan,tianjin,xinjiang,yunnan,zhejiang,south korea,france,australia,malaysia,brazil,germany,uk,italy,belgium,spain,sweden,finland,iran,austria,switzerland,norway,netherlands,denmark,ireland,portugal,washington,california,massachusetts,texas,florida,new york
0,,,10,5,,,17,,,,,,1,270,1,,2,,,,1,9,,2,1,2,,1,5,1,,,,,,,,,,,,,,,,,,,,1,,,,,
1,1,1,14,6,1,,26,2,1,4,1,,5,444,4,1,2,,2,,2,9,1,5,1,4,,1,10,1,,,,,,,,,,,,,,,,,,,,1,,,,,
2,2,9,22,9,5,2,32,5,3,5,1,2,5,444,9,5,7,1,3,3,6,16,1,8,1,4,2,2,27,1,,,,,,,,,,,,,,,,,,,,1,2,,,,
3,3,15,36,27,10,2,53,23,3,8,2,4,24,549,24,9,18,3,4,5,15,20,1,15,3,8,2,5,43,2,2,,,,,,,,,,,,,,,,,,,1,2,,,,
4,4,39,41,57,18,4,78,23,4,19,8,9,32,761,43,18,18,4,17,15,27,33,6,28,3,10,3,11,62,2,3,4,3,,,,,,,,,,,,,,,,,1,2,,,,
5,5,60,68,75,35,7,111,36,5,22,13,15,83,1058,69,33,36,4,21,22,46,40,9,44,4,14,4,16,104,3,3,4,4,,,,,,,,,,,,,,,,,1,2,,,,
6,6,70,72,110,56,14,151,46,7,33,18,21,128,1423,100,47,48,6,27,35,75,53,13,69,5,22,5,26,128,4,3,5,4,,,,,,,,,,,,,,,,,1,2,,,,
7,7,152,102,147,82,24,241,58,9,43,48,37,206,3554,221,99,109,9,37,56,121,80,27,108,8,27,13,51,296,4,4,5,7,,4,,,,,,,,,,,,,,,1,2,,,,
8,8,200,114,165,101,26,311,78,12,46,65,43,278,4586,277,129,162,14,41,63,145,101,35,142,8,29,14,70,428,4,5,7,8,,4,,,,,,,,,,,,,,,1,2,,,,
9,9,237,121,206,101,29,393,87,15,49,82,59,352,5806,332,168,240,14,45,66,178,128,39,177,9,32,17,76,537,7,6,9,8,,4,,,,,,1,,,,,,,,,1,5,,,,
10,10,297,156,238,144,35,520,100,29,57,96,80,422,7153,389,202,286,17,60,101,202,169,47,207,10,37,18,91,599,11,6,10,8,,7,,2,,,,1,,,,,,,,,1,5,,,,
11,11,340,168,262,144,40,604,111,38,63,104,95,493,9074,463,236,333,23,64,101,225,177,56,231,10,45,21,93,661,15,6,12,8,,8,2,2,,1,1,1,,,,,,,,,1,5,,,,
12,12,408,191,300,159,51,683,127,46,70,113,118,566,11177,521,271,391,31,70,128,246,193,66,254,10,54,24,105,724,15,6,12,8,,10,2,2,,1,1,1,,,,,,,,,1,5,,,,
13,13,480,212,337,179,55,797,139,56,79,126,155,675,13522,593,308,476,42,74,128,270,208,74,282,10,60,29,117,829,15,6,12,8,,12,2,2,,1,1,1,,,,,,,,,1,6,,,,
14,14,530,228,366,194,57,870,150,64,89,135,190,764,16678,661,341,548,54,81,142,298,233,81,301,11,67,32,122,895,16,6,13,10,,12,2,2,1,1,1,1,,,,,,,,,1,6,,,,
15,15,530,253,376,205,57,895,150,64,99,135,190,764,16678,661,341,548,54,88,165,307,243,81,301,11,69,32,124,895,19,6,14,12,,12,2,2,1,1,1,1,,,,,,,,,1,6,,,,
16,16,665,297,411,224,67,1018,172,77,115,171,277,914,22112,772,408,661,65,94,184,379,277,96,344,16,81,39,135,1006,24,6,15,14,,13,3,3,1,1,1,1,,,,,,,,,1,6,,,,
17,17,733,315,426,239,71,1075,183,89,124,195,295,981,24953,803,439,698,69,99,195,407,286,104,363,17,88,42,138,1048,24,6,15,15,,13,3,3,1,1,1,1,,,,,,,,,1,6,1,,,
18,18,779,326,446,250,79,1120,195,96,128,206,307,1033,27100,838,468,740,78,105,208,435,293,115,386,17,90,45,140,1075,25,11,15,16,,13,3,3,1,1,1,1,,,,,,,,,1,6,1,,,
19,19,830,337,468,261,83,1151,210,109,136,218,331,1073,29631,879,492,771,80,107,213,459,299,119,405,18,94,49,141,1092,27,11,15,18,,14,4,3,1,2,1,1,,,,,,,,,1,6,1,,,
20,20,860,342,486,267,86,1177,215,118,142,239,360,1105,31728,912,515,804,81,108,219,486,303,122,417,18,102,55,149,1117,28,11,15,18,,14,8,3,1,2,1,1,,,,,,,,,1,7,1,,,
21,21,889,352,505,272,86,1219,222,131,151,251,378,1135,33366,946,543,844,83,116,225,497,306,124,436,18,107,59,154,1131,28,11,15,18,,16,8,3,1,2,1,1,,,,,,,,,1,7,1,,,
