,Unnamed: 0,anhui,beijing,chongqing,fujian,gansu,guangdong,guangxi,guizhou,hainan,hebei,heilongjiang,henan,hubei,hunan,jiangsu,jiangxi,jilin,liaoning,shaanxi,shandong,shanghai,shanxi,sichuan,taiwan,tianjin,xinjiang,yunnan,zhejiang,south korea,france,australia,malaysia,brazil,germany,uk,italy,belgium,spain,sweden,finland,iran,austria,switzerland,norway,netherlands,denmark,ireland,portugal,washington,california,massachusetts,texas,florida,new york
29,29,6,4,5,1,2,5,2,2,4,5,12,19,2029,4,,1,1,1,1,4,2,,3,1,3,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
30,30,6,4,6,1,2,5,2,2,4,5,12,19,2144,4,,1,1,1,1,4,2,,3,1,3,1,2,1,1,1,,,,,,,,,,,2,,,,,,,,,,,,,
31,31,6,4,6,1,2,5,2,2,4,5,12,19,2144,4,,1,1,1,1,4,2,,3,1,3,1,2,1,1,1,,,,,,,,,,,2,,,,,,,,,,,,,
32,32,6,4,6,1,2,6,2,2,4,6,12,19,2346,4,,1,1,1,1,4,3,,3,1,3,2,2,1,4,1,,,,,,2,,,,,6,,,,,,,,,,,,,
33,33,6,4,6,1,2,6,2,2,4,6,12,19,2346,4,,1,1,1,1,4,3,,3,1,3,2,2,1,6,1,,,,,,3,,,,,8,,,,,,,,,,,,,
34,34,6,4,6,1,2,7,2,2,5,6,12,19,2563,4,,1,1,1,1,6,3,,3,1,3,2,2,1,9,1,,,,,,7,,,,,12,,,,,,,,,,,,,
35,35,6,4,6,1,2,7,2,2,5,6,12,19,2615,4,,1,1,1,1,6,3,,3,1,3,2,2,1,12,1,,,,,,11,,,,,16,,,,,,,,,,,,,
36,36,6,5,6,1,2,7,2,2,5,6,13,20,2641,4,,1,1,1,1,6,3,,3,1,3,2,2,1,13,2,,,,,,12,,,,,19,,,,,,,,,,,,,
37,37,6,7,6,1,2,7,2,2,5,6,13,20,2682,4,,1,1,1,1,6,3,,3,1,3,3,2,1,13,2,,,,,,17,,,,,26,,,,,,,,,,,,,
38,38,6,7,6,1,2,7,2,2,5,6,13,20,2682,4,,1,1,1,1,6,3,,3,1,3,3,2,1,16,2,,,,,,17,,,,,34,,,,,,,,,,,,,
