,anhui,beijing,chongqing,fujian,gansu,guangdong,guangxi,guizhou,hainan,hebei,heilongjiang,henan,hubei,hunan,jiangsu,jiangxi,jilin,liaoning,shaanxi,shandong,shanghai,shanxi,sichuan,taiwan,tianjin,xinjiang,yunnan,zhejiang,south korea,france,australia,malaysia,brazil,germany,uk,italy,belgium,spain,sweden,finland,iran,austria,switzerland,norway,netherlands,denmark,ireland,portugal,washington,california,massachusetts,texas,florida,new york
10,293,150,235,144,35,506,98,28,55,95,78,417,6738,386,197,277,16,59,101,199,158,46,203,10,37,18,89,580,11,6,8,8,0,7,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0
11,335,158,258,144,40,590,109,36,61,100,91,487,8565,455,230,323,22,63,101,220,166,55,227,10,45,21,89,638,15,6,10,8,0,8,2,2,0,1,1,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0
12,401,181,291,159,48,669,125,44,65,109,114,550,10532,505,264,373,30,69,128,240,182,64,241,10,53,24,102,688,15,6,10,8,0,10,2,2,0,1,1,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0
13,466,199,326,178,52,776,132,54,74,122,151,653,12712,567,300,457,41,73,127,263,197,72,267,10,59,29,112,781,14,6,9,8,0,12,2,2,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0
14,510,204,350,187,53,838,140,59,83,130,184,721,15679,626,328,521,53,79,140,285,220,77,277,11,65,32,117,832,15,6,10,10,0,12,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
15,507,228,359,194,51,854,136,55,93,128,181,712,15667,613,319,520,52,84,159,292,227,76,276,11,66,32,119,818,18,6,11,11,0,12,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
16,618,263,385,209,58,948,155,70,105,154,265,843,20675,671,370,616,60,89,173,348,246,84,303,15,78,39,126,906,23,6,12,13,0,13,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
17,679,279,393,219,61,973,166,81,111,166,277,879,23139,675,396,643,64,92,178,365,244,86,309,16,85,42,126,920,22,6,12,14,0,13,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0
18,713,287,405,224,65,992,176,88,110,174,287,896,24880,678,404,668,72,97,184,381,248,94,323,16,85,45,123,890,22,11,12,14,0,13,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0
19,746,291,415,225,65,1001,191,101,114,181,304,888,26965,678,414,668,67,95,187,395,250,94,326,17,89,49,122,879,24,11,12,16,0,14,4,3,1,2,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0
20,768,291,418,228,63,991,184,107,119,196,325,900,28532,689,428,676,67,94,187,413,250,96,334,17,92,52,130,867,25,11,12,15,0,14,8,3,1,2,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
21,768,293,423,226,60,977,190,113,128,201,342,896,29659,681,440,691,64,97,189,416,248,94,350,17,95,56,132,852,25,11,10,15,0,16,8,3,1,2,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
22,775,295,413,225,53,955,187,114,126,206,355,901,43455,654,439,701,61,94,185,403,250,93,356,17,99,59,132,818,21,11,10,15,0,16,8,3,1,2,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0
23,762,290,397,222,50,927,189,111,124,208,370,857,46806,626,450,712,60,92,177,406,227,90,357,17,96,58,135,788,21,11,10,16,0,15,8,3,1,2,1,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0
24,729,274,380,219,43,902,193,102,120,202,366,841,48175,597,433,702,62,89,177,380,201,84,349,17,86,63,126,745,21,11,10,18,0,15,8,3,1,2,1,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0
25,711,271,355,210,39,878,189,106,119,197,362,821,49030,552,408,685,60,85,172,371,187,82,348,16,82,59,127,730,20,7,10,15,0,15,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0
26,689,263,339,206,34,839,185,93,107,187,366,762,49845,512,386,653,58,79,166,362,170,79,351,17,77,62,126,700,21,7,10,15,0,15,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0
27,678,261,323,201,31,793,182,79,100,175,368,733,50315,493,358,622,54,75,161,346,155,77,342,19,78,63,121,658,19,7,10,13,0,7,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0
28,615,244,295,197,27,750,163,75,80,166,343,684,50620,452,335,571,53,65,139,320,145,70,326,19,77,61,116,630,34,7,10,13,0,7,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0
29,537,238,281,180,24,706,155,73,80,149,337,632,49664,409,300,500,50,62,138,298,132,61,309,21,73,55,111,565,70,7,10,7,0,7,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0
30,480,223,262,158,18,664,149,68,75,132,320,531,48730,362,276,444,46,59,126,474,121,56,300,21,69,53,91,555,143,7,10,7,0,7,1,3,0,2,1,0,3,0,0,0,0,0,0,0,0,9,1,1,0,0
31,461,223,262,158,18,662,144,68,75,130,303,515,48664,355,264,444,46,59,125,469,121,56,298,23,70,53,76,548,143,7,10,7,0,7,1,3,0,2,1,0,3,0,0,0,0,0,0,0,0,9,1,1,0,0
32,361,206,239,127,13,594,143,53,60,101,252,390,46439,308,219,322,38,52,90,439,83,50,265,23,67,49,65,465,534,7,12,7,0,7,1,76,0,2,1,0,22,0,0,0,0,0,0,0,0,10,1,1,0,0
