Shanghai,24240000,,,Zhejiang,57370000,,,Jiangsu,80400000,,,Shaanxi,37430000,,,Shandong,100470000,,,Anhui,62000000,,,Beijing,21540000,,,Chongqing,30750000,,,Fujian,38570000,,,Gansu,25640000,,,Guangdong,113460000,,,Guangxi,48380000,,,Guizhou,34690000,,,Hainan,9260000,,,Hebei,74700000,,,Heilongjiang,38340000,,,Henan,95590000,,
Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med
1.03E-05,1.23E-05,3813,0.811228513,1.53E-05,1.90E-05,560,0.313519608,5.12E-06,6.12E-06,780,0.312251462,4.89E-06,5.69E-06,186.5,0.174421206,3.97E-06,4.64E-06,650.59,0.513979194,1.19E-05,1.34E-05,447,0.175311382,1.35E-05,1.56E-05,1292,0.593809524,1.36E-05,1.58E-05,373,0.239149453,5.76E-06,6.77E-06,322,0.224377576,2.50E-06,6.63E-07,57,0.063519701,8.73E-06,1.02E-05,620,0.277077778,3.82E-06,4.34E-06,206,0.144101695,2.83E-06,3.14E-06,203,0.159284091,1.25E-05,1.49E-05,272,0.152352941,2.34E-06,2.92E-06,400,0.431070858,1.04E-05,1.17E-05,83,0.044676211,9.16E-06,1.12E-05,572,0.425682635
1.03E-05,0.0000125,3813,0.811228513,1.50E-05,1.95E-05,560,0.313519608,5.29E-06,6.41E-06,780,0.312251462,5.00E-06,5.85E-06,186.5,0.174421206,4.04E-06,4.85E-06,650.59,0.513979194,1.21E-05,1.39E-05,447,0.175311382,1.35E-05,1.59E-05,1292,0.593809524,1.38E-05,1.64E-05,373,0.239149453,5.76E-06,6.92E-06,322,0.224377576,2.34E-06,9.36E-07,57,0.063519701,8.50E-06,1.04E-05,620,0.277077778,3.74E-06,4.44E-06,206,0.144101695,3.14E-06,3.66E-06,203,0.159284091,1.31E-05,1.56E-05,272,0.152352941,2.53E-06,3.20E-06,400,0.431070858,1.14E-05,1.27E-05,83,0.044676211,9.21E-06,1.16E-05,572,0.425682635
1.04E-05,1.28E-05,3813,0.811228513,1.43E-05,1.97E-05,560,0.313519608,5.30E-06,6.75E-06,780,0.312251462,4.86E-06,6.01E-06,186.5,0.174421206,4.01E-06,4.95E-06,650.59,0.513979194,1.22E-05,1.43E-05,447,0.175311382,1.36E-05,1.63E-05,1292,0.593809524,1.34E-05,1.68E-05,373,0.239149453,5.68E-06,7.05E-06,322,0.224377576,2.11E-06,1.21E-06,57,0.063519701,8.31E-06,1.07E-05,620,0.277077778,3.91E-06,4.59E-06,206,0.144101695,3.29E-06,3.83E-06,203,0.159284091,1.36E-05,1.70E-05,272,0.152352941,2.61E-06,3.36E-06,400,0.431070858,1.20E-05,1.33E-05,83,0.044676211,9.22E-06,1.19E-05,572,0.425682635
1.04E-05,1.30E-05,3813,0.811228513,1.42E-05,2.00E-05,560,0.313519608,5.45E-06,7.09E-06,780,0.312251462,4.89E-06,6.12E-06,186.5,0.174421206,4.00E-06,5.07E-06,650.59,0.513979194,1.21E-05,1.47E-05,447,0.175311382,1.36E-05,1.70E-05,1292,0.593809524,1.29E-05,1.72E-05,373,0.239149453,5.76E-06,7.23E-06,322,0.224377576,1.91E-06,1.52E-06,57,0.063519701,8.15E-06,1.09E-05,620,0.277077778,3.87E-06,4.59E-06,206,0.144101695,3.08E-06,3.89E-06,203,0.159284091,1.33E-05,1.70E-05,272,0.152352941,2.60E-06,3.55E-06,400,0.431070858,1.25E-05,1.39E-05,83,0.044676211,9.03E-06,1.22E-05,572,0.425682635
9.36E-06,1.31E-05,3813,0.811228513,1.37E-05,2.01E-05,560,0.313519608,5.60E-06,7.38E-06,780,0.312251462,4.70E-06,6.14E-06,186.5,0.174421206,3.83E-06,5.21E-06,650.59,0.513979194,1.19E-05,1.51E-05,447,0.175311382,1.34E-05,1.73E-05,1292,0.593809524,1.24E-05,1.75E-05,373,0.239149453,5.65E-06,7.29E-06,322,0.224377576,1.91E-06,1.52E-06,57,0.063519701,7.91E-06,1.11E-05,620,0.277077778,3.89E-06,4.67E-06,206,0.144101695,3.20E-06,4.04E-06,203,0.159284091,1.21E-05,1.72E-05,272,0.152352941,2.58E-06,3.79E-06,400,0.431070858,1.27E-05,1.48E-05,83,0.044676211,8.54E-06,1.24E-05,572,0.425682635
8.29E-06,1.34E-05,3813,0.811228513,1.30E-05,2.03E-05,560,0.313519608,5.39E-06,7.51E-06,780,0.312251462,4.60E-06,6.20E-06,186.5,0.174421206,3.72E-06,5.30E-06,650.59,0.513979194,1.17E-05,1.53E-05,447,0.175311382,1.27E-05,1.74E-05,1292,0.593809524,1.15E-05,1.77E-05,373,0.239149453,5.55E-06,7.39E-06,322,0.224377576,1.52E-06,1.91E-06,57,0.063519701,7.77E-06,1.14E-05,620,0.277077778,3.91E-06,4.86E-06,206,0.144101695,2.91E-06,4.12E-06,203,0.159284091,1.29E-05,1.75E-05,272,0.152352941,2.50E-06,3.90E-06,400,0.431070858,1.22E-05,1.50E-05,83,0.044676211,8.45E-06,1.27E-05,572,0.425682635
7.71E-06,1.35E-05,3813,0.811228513,1.27E-05,2.03E-05,560,0.313519608,5.06E-06,7.67E-06,780,0.312251462,4.41E-06,6.31E-06,186.5,0.174421206,3.60E-06,5.34E-06,650.59,0.513979194,1.13E-05,1.55E-05,447,0.175311382,1.24E-05,1.76E-05,1292,0.593809524,1.10E-05,1.79E-05,373,0.239149453,5.32E-06,7.44E-06,322,0.224377576,1.33E-06,2.11E-06,57,0.063519701,7.48E-06,1.16E-05,620,0.277077778,3.84E-06,4.90E-06,206,0.144101695,2.80E-06,4.15E-06,203,0.159284091,1.14E-05,1.75E-05,272,0.152352941,2.57E-06,4.02E-06,400,0.431070858,1.25E-05,1.57E-05,83,0.044676211,8.14E-06,1.29E-05,572,0.425682635
7.01E-06,1.37E-05,3813,0.811228513,1.19E-05,2.04E-05,560,0.313519608,4.70E-06,7.79E-06,780,0.312251462,4.30E-06,6.41E-06,186.5,0.174421206,3.46E-06,5.38E-06,650.59,0.513979194,1.11E-05,1.57E-05,447,0.175311382,1.22E-05,1.77E-05,1292,0.593809524,1.05E-05,1.80E-05,373,0.239149453,5.19E-06,7.52E-06,322,0.224377576,1.21E-06,2.26E-06,57,0.063519701,7.00E-06,1.17E-05,620,0.277077778,3.78E-06,4.92E-06,206,0.144101695,2.54E-06,4.21E-06,203,0.159284091,1.08E-05,1.76E-05,272,0.152352941,2.36E-06,4.03E-06,400,0.431070858,1.27E-05,1.61E-05,83,0.044676211,7.54E-06,1.30E-05,572,0.425682635
6.39E-06,1.37E-05,3813,0.811228513,1.14E-05,2.04E-05,560,0.313519608,4.42E-06,7.82E-06,780,0.312251462,4.03E-06,6.41E-06,186.5,0.174421206,3.27E-06,5.40E-06,650.59,0.513979194,9.92E-06,1.58E-05,447,0.175311382,1.21E-05,1.80E-05,1292,0.593809524,9.63E-06,1.80E-05,373,0.239149453,5.16E-06,7.57E-06,322,0.224377576,1.05E-06,2.42E-06,57,0.063519701,6.69E-06,1.17E-05,620,0.277077778,3.53E-06,5.00E-06,206,0.144101695,2.25E-06,4.21E-06,203,0.159284091,8.64E-06,1.76E-05,272,0.152352941,2.22E-06,4.10E-06,400,0.431070858,1.21E-05,1.64E-05,83,0.044676211,7.49E-06,1.31E-05,572,0.425682635
5.98E-06,1.37E-05,3813,0.811228513,1.07E-05,2.05E-05,560,0.313519608,4.12E-06,7.85E-06,780,0.312251462,3.74E-06,6.47E-06,186.5,0.174421206,3.09E-06,5.41E-06,650.59,0.513979194,9.15E-06,1.59E-05,447,0.175311382,1.13E-05,1.82E-05,1292,0.593809524,9.14E-06,1.82E-05,373,0.239149453,4.69E-06,7.60E-06,322,0.224377576,9.36E-07,2.54E-06,57,0.063519701,6.35E-06,1.17E-05,620,0.277077778,3.22E-06,5.04E-06,206,0.144101695,2.13E-06,4.21E-06,203,0.159284091,8.64E-06,1.81E-05,272,0.152352941,2.01E-06,4.10E-06,400,0.431070858,1.19E-05,1.66E-05,83,0.044676211,7.01E-06,1.32E-05,572,0.425682635
